epoch,train_err,valid_err,test_err
0,0.03536899349285096,0.03146344357029233,0.03580888315628129
1,0.02954537853820722,0.02865664513852588,0.03272513339038278
2,0.02697788567050916,0.026841719288907332,0.03050497894913894
3,0.024769313786020517,0.025330791946536865,0.028559143614301303
4,0.024073788515879362,0.026827312867901167,0.030461089013429612
5,0.024622833023046527,0.02136216861360686,0.024161617318120544
6,0.02181563367092844,0.0202061332162898,0.022398360899129065
7,0.020549723376652753,0.020380248978302894,0.02251401944687919
8,0.019444303801582883,0.018213409264444178,0.020043173188083095
9,0.018615172659523647,0.01904736754159601,0.021281857303430376
10,0.018026836391210572,0.03551436748007106,0.03824468933111057
11,0.01748272831017915,0.015792909062446,0.017178347516031596
12,0.017013381554459327,0.016103374803615043,0.017477730926769904
13,0.01628068650200138,0.015033892390120795,0.016245098323556476
14,0.01599754156770674,0.014314045455778215,0.015253110489423951
15,0.01552397945701144,0.014191919214418845,0.015057315875006527
16,0.01514881479443688,0.014212934263710474,0.014890369757270235
17,0.014584424715521396,0.015136402381366756,0.015939299296789767
18,0.014534758366852868,0.014241026051618179,0.014774123793732335
19,0.014001390634171478,0.014223944808961558,0.014659087199153677
20,0.013823436297263448,0.01272528132509157,0.01320582920496628
21,0.013632695586756548,0.01498553001874322,0.01561595602557651
22,0.013402731361260153,0.012523350077704226,0.012938353566395262
23,0.013053220976544051,0.0124952353547652,0.012934867284293708
24,0.012831719902465998,0.014010493462204558,0.01468504097074568
25,0.012444745134112777,0.012029394414526795,0.01213858052007274
26,0.01221724780135458,0.014051898407606369,0.014864511609100902
27,0.011960019819889332,0.013269632019771284,0.013649158397230673
28,0.01231400422433557,0.011495377006435947,0.011708781517024413
29,0.011723735017905062,0.010986102711963288,0.011123456969760227
30,0.01181536839764802,0.011344569680494968,0.011389775115391661
31,0.011676704764194122,0.011783005277992658,0.01185349614165127
32,0.012133139938983574,0.011399518903834257,0.011286649201067523
33,0.011185864104759745,0.01103290024505504,0.011058983041361102
34,0.011261523174302034,0.011013471991594862,0.01143345295606813
35,0.011221566906517377,0.01503526875138163,0.01688188140523484
36,0.011187363895864158,0.011288616413371491,0.011813149673465586
37,0.011125480181950692,0.010720690213564556,0.010841277939851278
38,0.010572753561796355,0.010510005255810218,0.010528692905829407
39,0.010669738209845785,0.011455691029475707,0.01157867423727303
40,0.01056231085669587,0.01056828825778454,0.01071765437061223
41,0.010513841404172407,0.012617196819685919,0.0127015969651242
42,0.010430241726745507,0.011256563031540897,0.011080035597508371
43,0.01016144791005366,0.010324459798942073,0.010295824258983116
44,0.010329312335128361,0.010168585565604727,0.010462396708422018
45,0.009724311690993498,0.009794525059406659,0.00966682556164936
46,0.009980012725325298,0.011704993658782073,0.011693422783680338
47,0.009862693691005587,0.010292507981121173,0.010057573883004635
48,0.00894682693251968,0.009758003719696895,0.00960977485295194
49,0.008853780173996843,0.009511351261702352,0.009485685827728222
50,0.008795590721423663,0.009431263251628514,0.009483288192238568
51,0.008719376929116987,0.009567494670809466,0.009399838615919852
52,0.008748336244462834,0.009398729260819926,0.0094200455907662
53,0.008700149908974967,0.009453248358113906,0.00942048415454785
54,0.008648918168552929,0.00946449065479312,0.009420211626421007
55,0.008717924882966483,0.009462920471211321,0.009390699598587663
56,0.008756313545784239,0.00934831184338095,0.009387167879233226
57,0.008679467930866097,0.009495019667360204,0.009362884977211999
58,0.008636340522198955,0.009358124035815749,0.009431474982840938
59,0.008669456745405136,0.009389559950124339,0.009385268466704205
0,0.0337511717562964,0.028033290299670506,0.03199225038931645
1,0.026779953044207362,0.023533024018378097,0.026846393298103618
2,0.023536271344108118,0.020908141787342505,0.02352394320212319
3,0.021204468414444365,0.024578857731014675,0.026836629070380133
4,0.019406094728694524,0.018938921996503176,0.0211149177693229
5,0.018826724766406504,0.02280565130755064,0.024030903931470445
6,0.01750342001906912,0.015506839842720497,0.016856166639796933
7,0.01686273144943405,0.015334421277088481,0.016365777219524244
8,0.017011171243806775,0.01739988511056667,0.018932961663165306
9,0.01551333679356164,0.014615583580657952,0.01571272042908864
10,0.015118310812026301,0.01416724239125927,0.015031708286693644
11,0.015064611802636886,0.01383677830346881,0.014776109387317011
12,0.014961021959329907,0.013802267633719743,0.01463220174176615
13,0.014141919386248534,0.012570381528371213,0.013205146742006546
14,0.014041089759828455,0.019063928651685845,0.0200226775125645
15,0.013802057350624055,0.013238849048063649,0.013978679702780142
16,0.013473611877790448,0.013055817742382342,0.013613734848837645
17,0.013373248615971675,0.012916379042177255,0.013322300059446915
18,0.01300964617321582,0.011817092668093065,0.012464576525805468
19,0.012703997609635585,0.013139964109013772,0.013253127176182164
20,0.012687471130740672,0.011916783484043977,0.012089597601999973
21,0.01226502134809007,0.012049987228302209,0.01225535807906345
22,0.01238916679719001,0.011270114658073788,0.011635460584696375
23,0.012320990674311657,0.011082549202320631,0.011524919656203506
24,0.01199650741028391,0.01611454761169084,0.01780569309063773
25,0.011953464860745458,0.011501479770710137,0.011507106124463035
26,0.011819404234341928,0.012103687556084755,0.012363875881558642
27,0.01162714612645205,0.011046913932107674,0.011710190551658218
28,0.011684501555467179,0.012086096765238162,0.013135947223266992
29,0.011327622387331879,0.01068431691516419,0.010797942136388704
30,0.011312558981037245,0.010937733415185516,0.010944229720190874
31,0.011001043662730173,0.011962561100899705,0.012021257654095337
32,0.010904626617405886,0.01042790056196938,0.010775071047226028
33,0.011023334750508837,0.011725579719086592,0.011722600357529957
34,0.01083877925350253,0.010383319665434241,0.010460669555819287
35,0.010604783801036709,0.010424800237524253,0.010437011871738879
36,0.01061859762932093,0.011194386947904943,0.011038349326086685
37,0.010710950932306087,0.011718331481625039,0.013311286987236999
38,0.010667079734031937,0.010711533687332436,0.010849318483489705
39,0.010349334398331444,0.010293357705123343,0.011068370202213637
40,0.010377809891923963,0.011673217554594746,0.011494722743301157
41,0.010147763514594503,0.009793441569286023,0.009998416524597428
42,0.010154344485556006,0.01222630642489758,0.013853099293871999
43,0.010203127409337851,0.009819251192713705,0.010071846405079948
44,0.010370702280888969,0.00992890915844982,0.009935001840568168
45,0.0098440474435906,0.010345629842543464,0.011550976453615048
46,0.00983259565831721,0.010538227237797702,0.010530656279700141
47,0.009803397465562542,0.009993508109216287,0.01006553920851732
48,0.008868733777870485,0.009175703204987768,0.00949003677523876
49,0.008724969394977843,0.009183788239268718,0.009421994650073736
50,0.008697823154396822,0.009290830288524675,0.009381738383642433
51,0.008742205717533827,0.009184018056031461,0.009410662457606798
52,0.008714064774993816,0.009236537716423281,0.009332111034201883
53,0.008627765274022287,0.009198173388059479,0.009351915520132995
54,0.008753939409824833,0.009174300863728429,0.009340407012357643
55,0.008593842526551546,0.009084969848193932,0.00932604819287519
56,0.008656264184444677,0.009111380970246616,0.00939252170803452
57,0.008613113082664398,0.009225927261970105,0.009348198823524051
58,0.008655540957211943,0.009136531051268562,0.009303689792537682
59,0.008583843121826144,0.009346447895949971,0.0092755682890605
0,0.03571136178868306,0.030549181423497083,0.03478601876612263
1,0.029709623392853494,0.06833320976495942,0.07201606903410014
2,0.0273348664270612,0.02622542684397336,0.029676610617828572
3,0.025537504959098366,0.023614749094086354,0.026587407577337803
4,0.023479718036861243,0.023066553674964945,0.025672695247488716
5,0.022114196007627113,0.019783306465715862,0.022246402212549022
6,0.020749270940309338,0.019130790421710665,0.02139624757941574
7,0.020331882028374382,0.01849177627519224,0.02056830956820675
8,0.018666371759473166,0.016844149800515077,0.018482056695396723
9,0.01769761340459019,0.015984709152983678,0.017249906112222792
10,0.016928192504204454,0.01635716032439142,0.017347478908170583
11,0.016069644103158864,0.015024459081183304,0.01583540995943442
12,0.015429295355118434,0.015111100396754564,0.01613530322335236
13,0.015278075666145204,0.01588102958560771,0.016992715579257675
14,0.014824034724635806,0.014632794689334237,0.015689463138175666
15,0.014403082192763282,0.01280580113307496,0.013380238447144099
16,0.013882189463558089,0.013307801376643379,0.013668302024763032
17,0.014034146095489067,0.01326977243905928,0.014206107423390521
18,0.013310477006156738,0.012398082358812849,0.01268566673092136
19,0.013064211910150888,0.01516100082721355,0.01586970891144918
20,0.012891641795277738,0.012335925785100302,0.01278897087502432
21,0.012753384692919879,0.011791444044343746,0.01233356413245059
22,0.012615689524071598,0.01170207525864176,0.011929740472204116
23,0.01229486592110795,0.011951507958992873,0.01219066246613756
24,0.011966699895118494,0.011319984364568967,0.011614605556420582
25,0.01188344341854836,0.013198616967342197,0.013690678520509649
26,0.01197751334423042,0.010793911671868633,0.011232490784380949
27,0.011637460656425801,0.011099343766844624,0.01119093711790174
28,0.011537628822484663,0.01212269502021771,0.013230553476172188
29,0.011198001471946665,0.011965376268097074,0.011762251888544559
30,0.011278294159190154,0.012812513007248581,0.012839477705192524
31,0.011000118295731505,0.01260249875025154,0.013339412094190694
32,0.010777236597731558,0.010433176558799965,0.01026482145633444
33,0.01078176179922277,0.012114131095197073,0.01187586221292665
34,0.011106456442399094,0.013807853180586934,0.014738611559218436
35,0.010810144010186356,0.01111506083139541,0.011087677741719768
36,0.010573833091948063,0.013103221231393439,0.013485750681864892
37,0.010176764628319252,0.01060539597572216,0.011063738861637825
38,0.010438710201559964,0.010553481361709706,0.011106432718880411
39,0.010257579003710885,0.009907173954246258,0.009670892110894632
40,0.010404712589409072,0.009890066812060175,0.00973284845150819
41,0.009863830216308886,0.013006389230966505,0.013032770000780609
42,0.010129648091968107,0.010011384923241015,0.010080480636339631
43,0.01021560293352756,0.010010009170471795,0.009945530687966785
44,0.009977701979118264,0.009871923104073784,0.009781558833549319
45,0.009894801171124559,0.013265006737499556,0.013186634013742501
46,0.010317004632293127,0.010330968366783216,0.010583599159288918
47,0.009960914143536321,0.009861691314870065,0.01036440877295524
48,0.008736190387208964,0.009253621619443259,0.009158679234062057
49,0.008692288239886737,0.009107430683978221,0.009137394581240276
50,0.008666131045009141,0.009152384597619917,0.009119147728351708
51,0.00863658951638061,0.009101812330055978,0.009104548709801586
52,0.008579922573556205,0.009119355342664495,0.009188752781284545
53,0.008666063316992004,0.009123314325517974,0.009282078393995783
54,0.008586942185569492,0.009113263433073372,0.0090806886121976
55,0.008636817036112231,0.009081902665514216,0.009131727130100438
56,0.008582427250976115,0.009093527836357898,0.009137479021553388
57,0.008552664565292674,0.009113647278106598,0.008970813118802426
58,0.008510680139661294,0.009073233733079479,0.009036028826236619
59,0.008584602708355758,0.009047303857095774,0.009053813013511113
0,0.033158748324864894,0.026875287672019438,0.030553214513297428
1,0.025146079314786438,0.02490181555065605,0.02784058134474829
2,0.025841052010778683,0.02553204265388369,0.02931479430021318
3,0.023539903286934744,0.020342307519493178,0.022482005979425165
4,0.024434985113827846,0.01970526270179881,0.02169929647823226
5,0.020457477052460905,0.020596014245778973,0.02213452196967402
6,0.0188895547597845,0.019196242471471697,0.02053967561526871
7,0.017839489092253268,0.022036288401924956,0.023071937518097017
8,0.01673289209071848,0.015469058170058711,0.01650478253092418
9,0.015958271591877557,0.023912237184981297,0.024869443977115446
10,0.015872916294176365,0.015935216689174532,0.016861676472401443
11,0.014964996220454647,0.013281952000398937,0.013798819951445032
12,0.014363655357970313,0.014258333265509975,0.015000287765320005
13,0.01382166996929309,0.012459081399362392,0.01296660814963556
14,0.013567885415809201,0.013233745271713093,0.013839217855824003
15,0.012965831172097287,0.01202930509188115,0.012470210158387297
16,0.012965222027202206,0.011537670349130296,0.011998924905707321
17,0.012703092283542728,0.011858389003758896,0.012245725502155868
18,0.01262599808427854,0.012237615086964432,0.01241218821806777
19,0.012337909199673886,0.011326593855942632,0.011560221775258497
20,0.011875745274574715,0.014822238799612397,0.015598086133310445
21,0.01188836459290138,0.012122163176929579,0.0121184129420609
22,0.012144693409732303,0.015695450611407553,0.016591188828799158
23,0.01140700875440129,0.01086620637003066,0.010929869567773386
24,0.011408387835870592,0.011403699280258075,0.011687159517041558
25,0.011461286245011476,0.010807293814734885,0.010973592242140517
26,0.01111423514236928,0.010733129729421347,0.01079889403718875
27,0.01107883417974809,0.011023927374544395,0.010791248041610007
28,0.0109832419984242,0.01221862197690755,0.012575214902529719
29,0.010931570555755476,0.011248148260862605,0.011241851386452962
30,0.010661733080276455,0.010548180467793187,0.010629821713545123
31,0.010597560212640389,0.010507999503220724,0.010395192683712608
32,0.010545415975365329,0.0101206457108299,0.010337439098764912
33,0.01058404856511098,0.010962084195863113,0.01081720084841728
34,0.010022624205489689,0.01093186312597241,0.011929624341965627
35,0.010327294885096126,0.009842515897303426,0.009952382929503224
36,0.010061706148154662,0.010105420129913105,0.009897969098705234
37,0.010021783219360363,0.011281826088021881,0.01157720122975118
38,0.010193856240068423,0.010204336808515372,0.010385042714848598
39,0.009924897005633437,0.009897165677741994,0.010129788859972037
40,0.010135632347654324,0.009948614031623372,0.009918151929241985
41,0.010014094266831438,0.010221375285529037,0.010361842845302538
42,0.009838848982858677,0.00977265002249089,0.009893342784069437
43,0.009773236765263682,0.010028493661707284,0.010022793035961609
44,0.009703472161800106,0.009772344882719537,0.00961576721305717
45,0.009453910825804,0.010221374656997878,0.009902318756646091
46,0.009620644418019776,0.01089853455437095,0.010827732674502705
47,0.009386688102631522,0.009837682557339822,0.009569641384276469
48,0.008661253246749018,0.009256897164748997,0.009301807007657124
49,0.008553650305584477,0.009214660643967167,0.009346141511684032
50,0.008582642310817358,0.00929990353086419,0.009354583264726643
51,0.008536171300880383,0.009199000872585718,0.009300794409662985
52,0.008543575940499221,0.00918575525672836,0.00937118046760191
53,0.00857175019242144,0.009176817271501228,0.00940892623800382
54,0.008537086163928027,0.009150495029636583,0.00938381499270913
55,0.008524436836135177,0.009175590169299074,0.009474183986026924
56,0.008507416965588153,0.009213491948100528,0.009266934241875968
57,0.008513413705052292,0.009131461392270623,0.009379016885440359
58,0.008440370904283215,0.009148222611236474,0.009372383457346797
59,0.00848940251825008,0.009222491998839627,0.009315721927221302
0,0.033659476341267855,0.030956879573215215,0.03498984667521458
1,0.02640803124651491,0.02669624469377971,0.030099931622423068
2,0.02425573439800862,0.02482208878241899,0.028123986004047224
3,0.022672969912843358,0.7304852379950616,0.7458706826587644
4,0.02152156528458659,0.018333670031459182,0.02044119950512421
5,0.020562995252505545,0.019540373807262246,0.021652549666971208
6,0.019298856263479342,0.042684976632529605,0.04554808619524411
7,0.01872158610593347,0.01716061861765,0.018537093481365622
8,0.018025319249479227,0.020816352357278543,0.022537339866510225
9,0.017297624182579494,0.015458633368953202,0.016671060868236602
10,0.016617538852898715,0.01710477024408714,0.01819974097674144
11,0.016022009306940237,0.0367469444298162,0.03823791663006868
12,0.01599303425763323,0.016401815166369123,0.017476775194186868
13,0.015337239711253082,0.015998149066060348,0.016913288490721032
14,0.014709254113264607,0.015335030460817814,0.01596012829901496
15,0.014443271259639075,0.012528514099731842,0.01304136591363305
16,0.014165905520755336,0.013294777771729768,0.013829273030924271
17,0.013843591218300064,0.013534137364707401,0.014379330747295093
18,0.013419718177172885,0.012653216436098354,0.012927063610871469
19,0.013864865528025423,0.012651040703338907,0.01313198590257025
20,0.01274884645026585,0.011943392296216285,0.012616599990896558
21,0.013273693770384322,0.01955338564340089,0.020826182841998487
22,0.012704246404636695,0.012207713984131967,0.012508317188511697
23,0.01236173177545153,0.011640742680343121,0.011847035386442948
24,0.012193798121160742,0.011926175056704976,0.011981508500810626
25,0.012137628315285693,0.011910047037513865,0.012113875605801362
26,0.012066118224696437,0.012891863375259844,0.012699163619720994
27,0.01208083567826843,0.0111325021862025,0.011440763078086226
28,0.012175997786522891,0.013675722721780267,0.014034983383258622
29,0.01174127691598557,0.014291909503535186,0.015726237529384485
30,0.011811957251469277,0.010649998439792308,0.01098512673926246
31,0.011417589632179008,0.01191006392554318,0.012257860741618167
32,0.011408778025520686,0.010731879413699266,0.01107551247984426
33,0.011213727403475154,0.011597793259386426,0.011743646053735842
34,0.011106563971454111,0.011739408761252502,0.011904242642242843
35,0.011125736027994474,0.011072095745809724,0.011656018745269517
36,0.011059538024761098,0.011131625997477992,0.011304892077732944
37,0.010689509632315736,0.011323391562533577,0.011634157279144526
38,0.010983164098914332,0.018768199864217433,0.020347256242736506
39,0.01059333538021804,0.010707169697464476,0.010837435720752351
40,0.010562090129287374,0.012930077219221745,0.013454978078517768
41,0.010693455830068189,0.00993502877201761,0.009996988183033585
42,0.010436027809438324,0.011516812336960745,0.011746972613893725
43,0.010114544007719831,0.010960997735271328,0.011439771241504495
44,0.010406449695725519,0.01057887856255878,0.010657851420275598
45,0.010350300369292617,0.010925490457186316,0.01108685924819894
46,0.010587792683256741,0.010263054612254833,0.010416307750094307
47,0.010221883543307216,0.012491675599565915,0.012973639038350667
48,0.009191345112301698,0.009389155928866721,0.009614290955909427
49,0.008894743835632546,0.009380283333828598,0.00954290750747059
50,0.008847955770302778,0.009379760156261322,0.009593478011254833
51,0.008764177160932321,0.009337941732835276,0.009496924825387673
52,0.008774535128577078,0.0093746965899178,0.009624217478676327
53,0.008764095432693481,0.009428254014385884,0.009549660010560996
54,0.00877867800751054,0.009359140624421535,0.00956480823924601
55,0.008751575886187473,0.009423330689250416,0.009482307531216868
56,0.008764526245878559,0.00932515461449992,0.009450195119837575
57,0.008648504478738196,0.009392633260086363,0.00949071222431344
58,0.00872033835558738,0.009317455636052517,0.009487932532516993
59,0.008783927627246944,0.009300638655993256,0.009495671592851572
0,0.03387594527146697,0.030366121216251492,0.03433792302317693
1,0.02645770153766431,0.029372613052805464,0.03266582824112163
2,0.023247012101972817,0.02163589166365101,0.023925146562380657
3,0.021674855573775083,0.02029931691602866,0.02235291775948295
4,0.020823428125433394,0.019183190557953384,0.020977220580559477
5,0.01891324829860683,0.017984011221070528,0.019306020619531055
6,0.018010114515832846,0.01593782140790128,0.017088509383797787
7,0.016912560357150552,0.015663066428519126,0.016884783999148185
8,0.016415439294623645,0.0143475614800009,0.015270431532688818
9,0.016083475652950884,0.014168418910997151,0.015167937451953174
